Counter                                                                                   ID  
Байт, обработанных диспетчером/сек                                                        5106
Байт, переданных в этом сеансе                                                            4972
Байт, полученных в этом сеансе                                                            4970
Байтов в секунду                                                                          7394
Байтов записи, переданных BypassCSV в секунду                                             7600
Байтов записи, переданных через SMB Direct/с                                              7420
Байтов чтения, переданных BypassCSV в секунду                                             7598
Байтов чтения, переданных через SMB Direct/с                                              7418
Байтов/с                                                                                  7738
Байты виртуального диска, которые необходимо перераспределить                             7080
Байты виртуального диска, которые необходимо повторно создать                             7084
Байты основного резервного кэша                                                           1684
Байты резерва резервного кэша                                                             1680
Байты резервного кэша обычного приоритета                                                 1682
Бездействующих потоков                                                                    4288
Быстрый уровень отменил размещение коэффициента заполнения контейнера (%)                 4812
Быстрых чтений/с                                                                          124 
Бюджет питания                                                                            7752
В среднем байт на передачу                                                                1894
Ввод страниц/сек                                                                          822 
Виртуальные процессоры                                                                    8692
Виртуальный диск: необходимость восстановления, этап 2, количество                        7146
Виртуальный диск: необходимость восстановления, этап 6, количество                        7148
Виртуальный диск: неудачные замены в байтах                                               7140
Виртуальный диск: повторное создание области, байты                                       7144
Виртуальный диск: повторное создание области, количество                                  7142
Виртуальный диск: состояние восстановления, этап 1                                        7152
Виртуальный диск: состояние восстановления, этап 2                                        7156
Виртуальный диск: состояние восстановления, этап 3                                        7160
Виртуальный диск: состояние восстановления, этап 4                                        7164
Виртуальный диск: состояние восстановления, этап 5                                        7168
Виртуальный диск: состояние восстановления, этап 6                                        7172
Виртуальный диск: число восстановлений, этап 1                                            7150
Виртуальный диск: число восстановлений, этап 2                                            7154
Виртуальный диск: число восстановлений, этап 3                                            7158
Виртуальный диск: число восстановлений, этап 4                                            7162
Виртуальный диск: число восстановлений, этап 5                                            7166
Виртуальный диск: число восстановлений, этап 6                                            7170
Виртуальный диск: число неудачных замен                                                   7138
Виртуальных прерываний/с                                                                  8866
Вложенных записей виртуальной машины/с                                                    8998
